USERID|ROWNUM
1005123|1986
1005526|1987
1005669|1988
1005741|1989
1005977|1990
1005983|1991
1006238|1992
1006240|1993
1006280|1994
1006404|1995
1006568|1996
1006587|1997
1006920|1998
1006980|1999
1006995|2000
1007134|2001
1007329|2002
1007396|2003
1007656|2004
1007729|2005
1007784|2006
1007861|2007
1007977|2008
1008128|2009
1008297|2010
1008361|2011
1008594|2012
1008722|2013
1009030|2014
1009142|2015
1009223|2016
1009240|2017
1009409|2018
1009885|2019
1009907|2020
1010097|2021
1010225|2022
1010347|2023
1010600|2024
1010710|2025
1010883|2026
1010951|2027
1010958|2028
1010967|2029
1011158|2030
1011450|2031
1011456|2032
1011541|2033
1011586|2034
1011634|2035
1012375|2036
1012559|2037
1012575|2038
1012637|2039
1013144|2040
1013155|2041
1013448|2042
1014350|2043
1014648|2044
1015084|2045
1015250|2046
1015364|2047
1015470|2048
1015484|2049
1015567|2050
1015586|2051
1016332|2052
1016426|2053
1016473|2054
1016770|2055
1016791|2056
1016945|2057
1017135|2058
1017371|2059
1018769|2060
1019015|2061
1019249|2062
1019269|2063
1019388|2064
1019867|2065
1019884|2066
1020013|2067
1020229|2068
1020476|2069
1020718|2070
1020851|2071
1020916|2072
1021173|2073
1021285|2074
1021491|2075
1021584|2076
1021749|2077
1021909|2078
1021972|2079
1022187|2080
1022271|2081
1022425|2082
1022589|2083
1023440|2084
1023802|2085
1023943|2086
1024009|2087
1024035|2088
1024112|2089
1024386|2090
1024455|2091
1024679|2092
1024960|2093
1024978|2094
1025178|2095
1025180|2096
1025231|2097
1025366|2098
1025473|2099
1025550|2100
1026184|2101
1026191|2102
1026368|2103
1026374|2104
1026782|2105
1026868|2106
1026931|2107
1026958|2108
1027459|2109
1027596|2110
1027793|2111
1027920|2112
1028147|2113
1028260|2114
1029439|2115
1029885|2116
1030017|2117
1030256|2118
1030274|2119
1030473|2120
1030479|2121
1030584|2122
1030595|2123
1030887|2124
1030915|2125
1031038|2126
1031145|2127
1031150|2128
1031210|2129
1031403|2130
1031648|2131
1031870|2132
1031913|2133
1031962|2134
1032183|2135
1032532|2136
1032612|2137
1033098|2138
1033104|2139
1033293|2140
1033417|2141
1033509|2142
1033528|2143
1033545|2144
1033623|2145
1033686|2146
1033721|2147
1034199|2148
1034327|2149
1034394|2150
1034429|2151
1034630|2152
1034664|2153
1034703|2154
1035150|2155
1035337|2156
1035376|2157
